anio,mes,archivo,dias_esperados,dias_encontrados,filas,columnas,resolucion_grados,crs,unidad,nodata,min_mm_mes,max_mm_mes,media_mm_mes_region
2023,1,Precipitacion_mensual/2023/PREC_2023_01.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,50.132381439208984,6.848651885986328
2023,2,Precipitacion_mensual/2023/PREC_2023_02.tif,28,28,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,57.64569091796875,5.417651653289795
2023,3,Precipitacion_mensual/2023/PREC_2023_03.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,120.6581039428711,23.37217140197754
2023,4,Precipitacion_mensual/2023/PREC_2023_04.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,2.8091049194335938,115.07888793945312,27.014875411987305
2023,5,Precipitacion_mensual/2023/PREC_2023_05.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,40.303871154785156,345.5998840332031,109.79639434814453
2023,6,Precipitacion_mensual/2023/PREC_2023_06.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,154.86068725585938,40.88420104980469
2023,7,Precipitacion_mensual/2023/PREC_2023_07.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,11.518671035766602,408.7143249511719,101.28158569335938
2023,8,Precipitacion_mensual/2023/PREC_2023_08.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,16.12926483154297,611.9017333984375,144.2054901123047
2023,9,Precipitacion_mensual/2023/PREC_2023_09.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,2.7422821521759033,335.90618896484375,72.40496063232422
2023,10,Precipitacion_mensual/2023/PREC_2023_10.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,14.060920715332031,589.5548706054688,108.81932830810547
2023,11,Precipitacion_mensual/2023/PREC_2023_11.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,957.0646362304688,82.47541046142578
2023,12,Precipitacion_mensual/2023/PREC_2023_12.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,400.6448974609375,41.3135871887207
2024,1,Precipitacion_mensual/2024/PREC_2024_01.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,119.92583465576172,16.236072540283203
2024,2,Precipitacion_mensual/2024/PREC_2024_02.tif,29,29,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,95.11546325683594,13.345002174377441
2024,3,Precipitacion_mensual/2024/PREC_2024_03.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,60.78206253051758,7.4354329109191895
2024,4,Precipitacion_mensual/2024/PREC_2024_04.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,2.4996957778930664,84.83415985107422,19.421314239501953
2024,5,Precipitacion_mensual/2024/PREC_2024_05.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,7.8627519607543945,117.88763427734375,36.179542541503906
2024,6,Precipitacion_mensual/2024/PREC_2024_06.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,48.993896484375,548.3319702148438,176.0550537109375
2024,7,Precipitacion_mensual/2024/PREC_2024_07.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,35.81268310546875,1487.4818115234375,326.486083984375
2024,8,Precipitacion_mensual/2024/PREC_2024_08.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,13.973149299621582,665.755126953125,127.31661987304688
2024,9,Precipitacion_mensual/2024/PREC_2024_09.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,31.19153594970703,692.3505859375,228.98037719726562
2024,10,Precipitacion_mensual/2024/PREC_2024_10.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,9.089688301086426,442.5077209472656,87.29570770263672
2024,11,Precipitacion_mensual/2024/PREC_2024_11.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,188.81939697265625,34.809635162353516
2024,12,Precipitacion_mensual/2024/PREC_2024_12.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,222.40342712402344,20.727113723754883
2025,1,Precipitacion_mensual/2025/PREC_2025_01.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,1.4133751392364502,93.62358093261719,21.83931541442871
2025,2,Precipitacion_mensual/2025/PREC_2025_02.tif,28,28,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.5131407976150513,217.05813598632812,30.78371810913086
2025,3,Precipitacion_mensual/2025/PREC_2025_03.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,30.05548667907715,7.023462295532227
2025,4,Precipitacion_mensual/2025/PREC_2025_04.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,65.95703125,12.83785343170166
2025,5,Precipitacion_mensual/2025/PREC_2025_05.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,47.477073669433594,317.7224426269531,128.809814453125
2025,6,Precipitacion_mensual/2025/PREC_2025_06.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,93.99097442626953,920.0036010742188,276.2154235839844
2025,7,Precipitacion_mensual/2025/PREC_2025_07.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,28.7082462310791,602.8551635742188,159.58387756347656
2025,8,Precipitacion_mensual/2025/PREC_2025_08.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,11.116623878479004,596.5188598632812,147.4203643798828
2025,9,Precipitacion_mensual/2025/PREC_2025_09.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,37.30973434448242,796.7224731445312,236.0242919921875
2025,10,Precipitacion_mensual/2025/PREC_2025_10.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,32.28956604003906,771.4928588867188,139.34805297851562
2025,11,Precipitacion_mensual/2025/PREC_2025_11.tif,30,30,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,201.966796875,26.07221031188965
2025,12,Precipitacion_mensual/2025/PREC_2025_12.tif,31,31,72,65,0.05000000074505806,EPSG:4326,mm/mes,-9999.0,0.0,152.55311584472656,24.196922302246094
