variable,anio,mes,archivo,filas,columnas,resolucion_grados,crs,unidad,nodata,min_region,max_region,media_region
Tmax,2025,5,Tmax/2025/Tmax_2025_05.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,25.384048461914062,37.58853149414063,30.40532716557029
Tmax,2025,7,Tmax/2025/Tmax_2025_07.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,19.498512268066406,34.79878234863281,26.9851472992258
Tmax,2025,9,Tmax/2025/Tmax_2025_09.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,19.438180923461918,34.3541145324707,26.92689521897272
Tmax,2025,11,Tmax/2025/Tmax_2025_11.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,20.31675910949707,31.073936462402344,25.87179977249426
Tmin,2022,1,Tmin/2022/Tmin_2022_01.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,5.647283554077148,21.16103172302246,11.354048940538023
Tmin,2022,3,Tmin/2022/Tmin_2022_03.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,6.620813369750977,22.07335090637207,13.070160399419423
Tmin,2022,5,Tmin/2022/Tmin_2022_05.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,10.33769416809082,30.89741325378418,17.487444364666565
Tmin,2022,7,Tmin/2022/Tmin_2022_07.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,8.858475685119629,32.87114715576172,17.280404778672462
Tmin,2022,9,Tmin/2022/Tmin_2022_09.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,9.019598960876465,29.435312271118164,17.078774224798117
Tmin,2022,11,Tmin/2022/Tmin_2022_11.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,7.430259704589844,24.9537296295166,14.361025240430914
Tmin,2023,1,Tmin/2023/Tmin_2023_01.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,4.773643493652344,23.991819381713867,11.305245443931453
Tmin,2023,3,Tmin/2023/Tmin_2023_03.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,7.248075485229492,26.23580741882324,14.585052899745802
Tmin,2023,5,Tmin/2023/Tmin_2023_05.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,9.89059352874756,29.52237319946289,17.193964699788353
Tmin,2023,7,Tmin/2023/Tmin_2023_07.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,9.37317943572998,33.41684341430664,17.930500043127793
Tmin,2023,9,Tmin/2023/Tmin_2023_09.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,8.473006248474121,33.53577423095703,16.864092373516677
Tmin,2023,11,Tmin/2023/Tmin_2023_11.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,7.7832536697387695,24.00148200988769,14.325766729913129
Tmin,2024,1,Tmin/2024/Tmin_2024_01.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,5.8695220947265625,21.94206428527832,12.22008916798433
Tmin,2024,3,Tmin/2024/Tmin_2024_03.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,7.036628723144531,26.814699172973636,14.93969416906886
Tmin,2024,5,Tmin/2024/Tmin_2024_05.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,12.22808074951172,33.49641418457031,19.88318271350561
Tmin,2024,7,Tmin/2024/Tmin_2024_07.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,10.08836841583252,32.3101806640625,18.46449984311523
Tmin,2024,9,Tmin/2024/Tmin_2024_09.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,10.507153511047363,31.82873916625977,18.482550811040888
Tmin,2024,11,Tmin/2024/Tmin_2024_11.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,5.843327522277832,28.420055389404297,13.775049669974484
Tmin,2025,1,Tmin/2025/Tmin_2025_01.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,6.29588794708252,19.725605010986328,11.379550263786571
Tmin,2025,3,Tmin/2025/Tmin_2025_03.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,7.439922332763672,26.074254989624023,14.496041196817137
Tmin,2025,5,Tmin/2025/Tmin_2025_05.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,11.600613594055176,31.09444808959961,18.204757835340303
Tmin,2025,7,Tmin/2025/Tmin_2025_07.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,8.713540077209473,31.9111385345459,17.302522474209432
Tmin,2025,9,Tmin/2025/Tmin_2025_09.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,9.654332160949709,30.925256729125977,17.710231863292865
Tmin,2025,12,Tmin/2025/Tmin_2025_12.tif,72,65,0.050000000745058,EPSG:4326,°C,-9999.0,7.284008979797363,24.10385513305664,12.994336807690413
