ID_POLIGONO,fecha_captura,sensor,ndvi_promedio,ndvi_std,ndvi_max,ndvi_min,evi_promedio,evi_std,evi_max,evi_min,crc_promedio,crc_std,crc_max,crc_min,mcrc_promedio,mcrc_std,mcrc_max,mcrc_min,ndsvi_promedio,ndsvi_std,ndsvi_max,ndsvi_min,srndi_promedio,srndi_std,srndi_max,srndi_min,mra_promedio,mra_std,mra_max,mra_min,lai_promedio,lai_std,lai_max,lai_min,fapar_promedio,fapar_std,fapar_max,fapar_min,savi_promedio,savi_std,savi_max,savi_min,vi6t_promedio,vi6t_std,vi6t_max,vi6t_min,ndti_promedio,ndti_std,ndti_max,ndti_min,sti_promedio,sti_std,sti_max,sti_min,ndwi_promedio,ndwi_std,ndwi_max,ndwi_min,endwi_promedio,endwi_std,endwi_max,endwi_min,msi_promedio,msi_std,msi_max,msi_min,emsi_promedio,emsi_std,emsi_max,emsi_min,dswi2_promedio,dswi2_std,dswi2_max,dswi2_min,dswi3_promedio,dswi3_std,dswi3_max,dswi3_min,dswi4_promedio,dswi4_std,dswi4_max,dswi4_min,dswi5_promedio,dswi5_std,dswi5_max,dswi5_min,nddi_promedio,nddi_std,nddi_max,nddi_min,enddi_promedio,enddi_std,enddi_max,enddi_min,porcentaje_nubosidad
AGC_034,25/04/2024,Sentinel-2,0.137,0.033,0.342,0.085,0.097,0.023,0.232,0.059,0.408,0.037,0.502,0.312,0.386,0.046,0.523,0.285,0.259,0.065,0.516,0.146,0.212,0.056,0.428,0.108,0.021,0.0,0.022,0.021,-0.023,0.034,0.182,-0.082,0.086,0.014,0.192,0.054,0.087,0.018,0.19,0.054,,,,,0.051,0.021,0.119,0.024,1.108,0.048,1.27,1.05,-0.127,0.043,-0.049,-0.244,-0.077,0.038,0.016,-0.191,1.298,0.116,1.644,1.104,1.172,0.092,1.471,0.969,2.275,0.25,3.196,1.798,1.722,0.254,3.129,1.342,0.755,0.036,0.979,0.663,0.765,0.035,0.839,0.671,0.104,0.029,0.203,0.051,0.132,0.035,0.267,0.072,0.0
AGC_034,31/12/2025,Sentinel-2,0.225,0.071,0.604,0.11,0.157,0.055,0.463,0.063,0.397,0.052,0.508,-0.023,0.407,0.043,0.518,0.087,0.35,0.05,0.562,0.086,0.173,0.055,0.376,-0.183,0.023,0.001,0.029,0.021,0.058,0.089,0.586,-0.087,0.148,0.064,0.454,0.025,0.129,0.042,0.344,0.052,,,,,0.189,0.022,0.27,0.144,1.469,0.069,1.739,1.337,-0.135,0.054,0.106,-0.229,0.055,0.071,0.365,-0.071,1.322,0.136,1.592,0.809,0.904,0.12,1.153,0.465,2.39,0.221,3.146,1.19,2.098,0.257,3.57,1.188,0.878,0.063,1.347,0.789,0.801,0.074,1.23,0.697,0.075,0.023,0.14,-0.068,0.173,0.023,0.257,0.037,0.0
AGC_055,01/01/2022,Sentinel-2,0.279,0.048,0.43,0.148,0.189,0.034,0.293,0.114,0.447,0.036,0.538,0.325,0.447,0.043,0.533,0.314,0.373,0.047,0.472,0.235,0.191,0.055,0.304,0.03,0.022,0.0,0.024,0.021,0.124,0.06,0.302,-0.002,0.19,0.05,0.351,0.096,0.162,0.028,0.242,0.099,,,,,0.196,0.02,0.242,0.149,1.49,0.061,1.638,1.349,-0.105,0.055,0.081,-0.217,0.092,0.067,0.293,-0.053,1.243,0.134,1.555,0.851,0.838,0.112,1.111,0.546,2.637,0.278,3.284,1.916,2.205,0.232,2.79,1.614,0.837,0.048,1.041,0.69,0.82,0.069,1.094,0.68,0.079,0.025,0.129,0.01,0.177,0.026,0.226,0.112,0.0
AGC_055,06/11/2024,Sentinel-2,0.323,0.064,0.512,0.211,0.312,0.06,0.483,0.184,0.291,0.053,0.41,0.152,0.292,0.043,0.391,0.186,0.289,0.048,0.397,0.178,0.083,0.051,0.203,-0.079,0.023,0.001,0.026,0.022,0.246,0.081,0.53,0.109,0.309,0.057,0.469,0.212,0.217,0.033,0.326,0.156,,,,,0.211,0.034,0.287,0.156,1.541,0.111,1.803,1.368,0.038,0.044,0.157,-0.063,0.246,0.07,0.417,0.093,0.93,0.08,1.135,0.729,0.61,0.089,0.829,0.411,1.834,0.172,2.284,1.457,1.826,0.193,2.319,1.433,0.996,0.06,1.177,0.863,1.052,0.081,1.295,0.887,0.03,0.019,0.082,-0.027,0.12,0.017,0.165,0.075,4.926108374384237
AGC_055,13/09/2022,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_055,18/03/2025,Sentinel-2,0.214,0.043,0.328,0.14,0.143,0.031,0.239,0.101,0.452,0.025,0.503,0.359,0.45,0.037,0.521,0.333,0.376,0.041,0.459,0.244,0.277,0.061,0.398,0.106,0.021,0.0,0.022,0.021,0.044,0.049,0.212,-0.023,0.11,0.038,0.214,0.05,0.122,0.025,0.203,0.087,,,,,0.11,0.032,0.169,0.05,1.251,0.08,1.406,1.106,-0.176,0.052,-0.029,-0.28,-0.067,0.082,0.138,-0.233,1.437,0.157,1.778,1.059,1.16,0.195,1.608,0.758,2.653,0.244,3.176,2.0,2.218,0.204,2.7,1.644,0.837,0.039,0.958,0.769,0.744,0.06,0.916,0.631,0.132,0.036,0.213,0.047,0.192,0.026,0.248,0.12,0.0
AGC_055,25/02/2024,Sentinel-2,0.162,0.023,0.274,0.11,0.107,0.013,0.175,0.08,0.446,0.025,0.504,0.359,0.442,0.034,0.53,0.326,0.358,0.043,0.494,0.222,0.286,0.048,0.41,0.126,0.021,0.0,0.021,0.021,-0.013,0.02,0.095,-0.054,0.064,0.017,0.127,0.021,0.093,0.011,0.149,0.07,,,,,0.08,0.017,0.115,0.05,1.176,0.04,1.26,1.106,-0.208,0.035,-0.11,-0.298,-0.13,0.042,-0.004,-0.232,1.532,0.113,1.848,1.246,1.305,0.112,1.604,1.008,2.598,0.214,3.258,1.965,2.13,0.208,2.955,1.571,0.819,0.028,0.912,0.757,0.707,0.034,0.802,0.629,0.144,0.027,0.21,0.06,0.19,0.026,0.273,0.113,0.0
AGC_055,31/12/2025,Sentinel-2,0.254,0.06,0.438,0.145,0.172,0.04,0.322,0.108,0.407,0.034,0.486,0.315,0.425,0.043,0.539,0.324,0.379,0.058,0.494,0.233,0.211,0.074,0.353,0.049,0.022,0.001,0.024,0.021,0.078,0.061,0.322,-0.015,0.166,0.057,0.303,0.071,0.14,0.03,0.25,0.092,,,,,0.183,0.032,0.252,0.127,1.451,0.097,1.673,1.29,-0.138,0.062,0.026,-0.303,0.045,0.09,0.252,-0.152,1.333,0.172,1.87,0.95,0.929,0.171,1.358,0.597,2.498,0.258,3.337,1.957,2.249,0.298,2.952,1.609,0.899,0.061,1.093,0.771,0.802,0.073,1.03,0.616,0.092,0.037,0.175,0.021,0.186,0.033,0.266,0.111,0.0
AGC_062,02/09/2024,Sentinel-2,0.605,0.053,0.72,0.383,0.535,0.055,0.769,0.347,0.354,0.027,0.44,0.281,0.336,0.033,0.429,0.261,0.441,0.04,0.521,0.28,0.182,0.043,0.336,0.054,0.031,0.001,0.033,0.026,0.751,0.131,1.458,0.368,0.624,0.049,0.726,0.443,0.39,0.035,0.533,0.268,,,,,0.282,0.028,0.337,0.192,1.788,0.105,2.016,1.474,0.225,0.053,0.396,0.084,0.475,0.064,0.633,0.272,0.635,0.072,0.845,0.432,0.359,0.062,0.572,0.225,2.02,0.151,2.503,1.706,2.593,0.241,3.177,1.78,1.285,0.093,1.497,0.981,1.507,0.15,2.09,1.126,0.042,0.012,0.095,0.012,0.134,0.013,0.179,0.096,0.0
AGC_062,03/08/2025,Sentinel-2,0.378,0.195,0.705,-0.012,0.32,0.182,0.676,-0.017,0.296,0.186,0.501,-0.24,0.263,0.172,0.47,-0.249,0.275,0.194,0.56,-0.262,0.108,0.177,0.384,-0.368,0.026,0.003,0.033,0.02,0.382,0.373,1.265,-0.187,0.35,0.175,0.676,0.0,0.25,0.14,0.503,-0.009,,,,,0.179,0.044,0.298,0.089,1.445,0.135,1.85,1.196,0.126,0.092,0.37,-0.137,0.295,0.113,0.576,0.02,0.789,0.152,1.317,0.46,0.556,0.141,0.96,0.269,1.831,0.515,2.771,0.602,1.931,0.673,3.55,0.584,1.04,0.128,1.399,0.79,1.208,0.2,1.93,0.809,0.028,0.062,0.125,-0.156,0.097,0.069,0.212,-0.117,1.486988847583643
AGC_062,04/08/2023,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_062,05/08/2025,Sentinel-2,0.371,0.191,0.701,-0.02,0.315,0.18,0.644,-0.023,0.322,0.169,0.497,-0.232,0.28,0.157,0.454,-0.276,0.285,0.183,0.557,-0.281,0.136,0.169,0.426,-0.384,0.026,0.003,0.032,0.02,0.378,0.368,1.199,-0.196,0.357,0.175,0.675,0.0,0.249,0.138,0.492,-0.015,,,,,0.16,0.046,0.26,0.067,1.389,0.132,1.703,1.145,0.107,0.103,0.328,-0.17,0.259,0.129,0.527,-0.051,0.824,0.176,1.411,0.506,0.605,0.17,1.107,0.31,1.881,0.479,2.662,0.567,1.952,0.64,3.515,0.561,1.024,0.133,1.406,0.799,1.175,0.212,1.783,0.78,0.04,0.061,0.152,-0.161,0.104,0.066,0.217,-0.123,0.0
AGC_062,08/08/2025,Sentinel-2,0.471,0.148,0.694,0.216,0.445,0.134,0.691,0.164,0.252,0.096,0.383,-0.071,0.231,0.078,0.345,-0.065,0.299,0.111,0.464,-0.034,0.055,0.089,0.202,-0.238,0.028,0.003,0.032,0.023,0.541,0.312,1.173,0.056,0.482,0.157,0.745,0.154,0.315,0.102,0.487,0.129,,,,,0.252,0.041,0.324,0.169,1.68,0.146,1.958,1.407,0.212,0.089,0.368,-0.02,0.436,0.107,0.613,0.173,0.66,0.127,1.04,0.462,0.401,0.108,0.704,0.24,1.626,0.236,2.053,0.879,1.92,0.432,2.734,0.934,1.171,0.138,1.474,0.937,1.434,0.248,1.951,0.963,0.011,0.024,0.04,-0.077,0.095,0.027,0.136,-0.012,24.53531598513011
AGC_062,23/10/2023,Sentinel-2,0.152,0.031,0.335,0.112,0.119,0.027,0.296,0.087,0.396,0.02,0.45,0.35,0.388,0.017,0.441,0.341,0.295,0.02,0.364,0.233,0.181,0.028,0.238,0.113,0.021,0.0,0.022,0.021,-0.001,0.045,0.281,-0.051,0.095,0.033,0.29,0.048,0.099,0.023,0.233,0.072,,,,,0.12,0.019,0.184,0.091,1.275,0.049,1.449,1.201,-0.149,0.039,0.035,-0.217,-0.03,0.053,0.211,-0.105,1.356,0.103,1.553,0.932,1.067,0.109,1.235,0.651,2.269,0.09,2.58,2.037,1.838,0.081,2.144,1.609,0.81,0.026,0.896,0.747,0.766,0.038,1.012,0.7,0.086,0.016,0.115,0.045,0.151,0.013,0.187,0.115,0.0
AGC_102,01/02/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.631,0.014,-0.585,-0.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_102,07/02/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.562,0.025,-0.515,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_102,13/05/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.627,0.009,-0.598,-0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_102,19/04/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.641,0.006,-0.618,-0.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_102,25/08/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_102,31/12/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59,0.009,-0.574,-0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_121,01/02/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.617,0.022,-0.586,-0.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_121,07/03/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.664,0.008,-0.648,-0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_121,13/07/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_121,19/04/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.646,0.009,-0.623,-0.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_121,25/08/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_121,31/12/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.607,0.02,-0.572,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_143,01/02/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.615,0.009,-0.59,-0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_143,06/07/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_143,13/01/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.619,0.011,-0.589,-0.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_143,18/12/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.608,0.009,-0.593,-0.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_143,25/06/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_143,31/12/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.604,0.011,-0.586,-0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_186,01/01/2022,Sentinel-2,0.197,0.016,0.295,0.145,0.151,0.014,0.23,0.094,0.476,0.021,0.515,0.396,0.456,0.026,0.506,0.357,0.345,0.032,0.429,0.23,0.194,0.041,0.321,0.084,0.021,0.0,0.022,0.021,0.063,0.025,0.203,-0.039,0.09,0.026,0.331,0.039,0.133,0.013,0.199,0.079,,,,,0.162,0.017,0.205,0.079,1.389,0.048,1.516,1.171,-0.159,0.038,-0.02,-0.284,0.003,0.047,0.173,-0.17,1.383,0.107,1.793,1.041,0.998,0.095,1.41,0.705,2.687,0.176,3.048,2.111,2.063,0.146,2.5,1.599,0.767,0.014,0.865,0.731,0.74,0.038,0.9,0.635,0.089,0.021,0.165,0.036,0.175,0.02,0.239,0.108,0.0
AGC_186,06/12/2024,Sentinel-2,0.222,0.021,0.307,0.148,0.159,0.019,0.212,0.112,0.494,0.025,0.552,0.411,0.484,0.037,0.56,0.383,0.375,0.048,0.468,0.265,0.206,0.063,0.338,0.077,0.021,0.0,0.022,0.021,0.08,0.036,0.175,-0.005,0.121,0.031,0.332,0.059,0.141,0.018,0.187,0.097,,,,,0.183,0.019,0.234,0.126,1.449,0.056,1.612,1.288,-0.168,0.051,-0.039,-0.282,0.015,0.066,0.169,-0.143,1.412,0.154,1.785,1.081,0.979,0.135,1.333,0.71,2.893,0.275,3.546,2.244,2.219,0.255,2.763,1.721,0.766,0.031,0.845,0.685,0.73,0.048,0.86,0.629,0.093,0.033,0.166,0.031,0.19,0.031,0.254,0.128,0.0
AGC_186,13/09/2022,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_186,19/06/2024,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_186,25/05/2025,Sentinel-2,0.169,0.053,0.426,0.072,0.093,0.044,0.322,0.033,0.22,0.152,0.488,-0.015,0.305,0.109,0.537,0.105,0.293,0.065,0.478,0.172,0.117,0.096,0.377,-0.131,0.021,0.0,0.024,0.021,-0.046,0.063,0.298,-0.128,0.12,0.049,0.374,0.013,0.074,0.034,0.24,0.027,,,,,0.182,0.035,0.301,0.09,1.45,0.109,1.86,1.198,-0.131,0.083,0.205,-0.379,0.051,0.116,0.476,-0.289,1.323,0.222,2.218,0.66,0.927,0.214,1.813,0.355,1.956,0.501,3.318,1.235,1.855,0.277,2.833,1.414,0.974,0.11,1.324,0.79,0.847,0.127,1.351,0.565,0.056,0.047,0.214,-0.039,0.149,0.04,0.286,0.064,0.0
AGC_186,31/12/2025,Sentinel-2,0.213,0.025,0.328,0.153,0.159,0.019,0.255,0.105,0.443,0.02,0.495,0.379,0.44,0.041,0.521,0.349,0.339,0.068,0.444,0.205,0.156,0.084,0.287,-0.018,0.021,0.0,0.022,0.021,0.07,0.034,0.222,-0.022,0.144,0.038,0.334,0.046,0.136,0.017,0.208,0.088,,,,,0.195,0.016,0.232,0.151,1.484,0.049,1.605,1.356,-0.138,0.067,0.005,-0.288,0.057,0.078,0.23,-0.107,1.334,0.179,1.809,0.99,0.902,0.137,1.239,0.626,2.593,0.264,3.176,2.07,2.059,0.307,2.6,1.515,0.791,0.047,0.91,0.701,0.768,0.057,0.897,0.631,0.069,0.039,0.137,-0.007,0.17,0.04,0.244,0.093,0.0
