ID_POLIGONO,meta_estado,meta_municipio,fold_state_stratified,fold_municipality_grouped
AGC_100,Puebla,Chignahuapan,2,4
AGC_101,Puebla,Chignahuapan,5,4
AGC_102,Puebla,Chignahuapan,1,4
AGC_103,Tlaxcala,Calpulalpan,1,1
AGC_104,Puebla,Chignahuapan,4,4
AGC_105,Puebla,Chignahuapan,5,4
AGC_106,Puebla,Chignahuapan,3,4
AGC_108,Puebla,Chignahuapan,2,4
AGC_109,Puebla,Chignahuapan,4,4
AGC_110,Puebla,Chignahuapan,3,4
AGC_111,Puebla,Chignahuapan,1,4
AGC_112,Tlaxcala,Calpulalpan,1,1
AGC_114,Tlaxcala,Calpulalpan,5,1
AGC_115,Puebla,Chignahuapan,4,4
AGC_117,Tlaxcala,Calpulalpan,1,1
AGC_119,Hidalgo,Cuautepec de Hinojosa,1,5
AGC_121,Hidalgo,Singuilucan,1,2
AGC_122,Tlaxcala,Calpulalpan,4,1
AGC_123,Tlaxcala,Calpulalpan,5,1
AGC_124,Puebla,Chignahuapan,2,4
AGC_125,Puebla,Chignahuapan,2,4
AGC_127,Puebla,Chignahuapan,1,4
AGC_131,Puebla,Chignahuapan,2,4
AGC_132,Puebla,Chignahuapan,4,4
AGC_133,Puebla,Chignahuapan,1,4
AGC_134,Hidalgo,Almoloya,2,3
AGC_135,Puebla,Chignahuapan,2,4
AGC_137,Hidalgo,Almoloya,5,3
AGC_138,Tlaxcala,Calpulalpan,3,1
AGC_139,Puebla,Chignahuapan,1,4
AGC_140,Hidalgo,Singuilucan,4,2
AGC_141,Tlaxcala,Calpulalpan,5,1
AGC_144,Tlaxcala,Calpulalpan,4,1
AGC_145,Tlaxcala,Calpulalpan,2,1
AGC_146,Hidalgo,Almoloya,5,3
AGC_148,Hidalgo,Singuilucan,4,2
AGC_150,Puebla,Chignahuapan,2,4
AGC_151,Hidalgo,Almoloya,2,3
AGC_152,Hidalgo,Almoloya,4,3
AGC_155,Puebla,Chignahuapan,3,4
AGC_157,Tlaxcala,Calpulalpan,2,1
AGC_159,Puebla,Chignahuapan,1,4
AGC_160,Puebla,Chignahuapan,2,4
AGC_161,Puebla,Chignahuapan,1,4
AGC_162,Puebla,Chignahuapan,5,4
AGC_163,Tlaxcala,Calpulalpan,3,1
AGC_164,Hidalgo,Apan,1,4
AGC_165,Puebla,Chignahuapan,3,4
AGC_166,Hidalgo,Singuilucan,2,2
AGC_167,Puebla,Chignahuapan,1,4
AGC_168,Puebla,Chignahuapan,4,4
AGC_169,Tlaxcala,Calpulalpan,5,1
AGC_170,Tlaxcala,Calpulalpan,4,1
AGC_171,Puebla,Chignahuapan,4,4
AGC_172,Puebla,Chignahuapan,4,4
AGC_176,Puebla,Chignahuapan,4,4
AGC_178,Puebla,Chignahuapan,4,4
AGC_179,Puebla,Chignahuapan,5,4
AGC_180,Hidalgo,Almoloya,1,3
AGC_181,Puebla,Chignahuapan,4,4
AGC_184,Hidalgo,Almoloya,5,3
AGC_185,Puebla,Chignahuapan,5,4
AGC_187,Tlaxcala,Calpulalpan,1,1
AGC_189,Puebla,Chignahuapan,5,4
AGC_193,Puebla,Chignahuapan,2,4
AGC_194,Hidalgo,Singuilucan,2,2
AGC_195,Puebla,Chignahuapan,5,4
AGC_196,Hidalgo,Emiliano Zapata,3,1
AGC_197,Puebla,Chignahuapan,3,4
