ID_POLIGONO,x_support_score,x_support_tier,selected_method,candidate_prediction
AGC_075,0.302536231884058,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.029695165825939
AGC_076,0.2681159420289855,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.442814605232269
AGC_082,0.3405797101449275,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.449122188212781
AGC_085,0.378623188405797,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.028176684883299
AGC_086,0.5797101449275361,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.9700753134135294
AGC_087,0.697463768115942,high,LocalRidge_C1_agronomic_Geo_k30_a30_p1,2.7918547886270897
AGC_088,0.8152173913043478,high,LocalRidge_C1_agronomic_Geo_k30_a30_p1,4.3097202458591894
AGC_091,0.6920289855072463,high,LocalRidge_C1_agronomic_Geo_k30_a30_p1,4.5554288736324855
AGC_093,0.4347826086956522,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.021425150794804
AGC_094,0.6847826086956521,high,LocalRidge_C1_agronomic_Geo_k30_a30_p1,4.832488215498067
AGC_095,0.4782608695652174,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.611793988929803
AGC_107,0.463768115942029,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.496002632089494
AGC_113,0.6865942028985508,high,LocalRidge_C1_agronomic_Geo_k30_a30_p1,3.0652594799296877
AGC_116,0.3804347826086957,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.390381840791185
AGC_118,0.2971014492753623,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.2626015487719178
AGC_120,0.1666666666666666,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.965691421665913
AGC_126,0.806159420289855,high,LocalRidge_C1_agronomic_Geo_k30_a30_p1,4.564796236513167
AGC_128,0.6231884057971016,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.481227756927951
AGC_129,0.3152173913043478,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.4772908698486944
AGC_130,0.3333333333333333,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.559845293082046
AGC_136,0.2989130434782609,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.513439805757615
AGC_142,0.338768115942029,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.556583421049089
AGC_143,0.4692028985507246,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.531608924541349
AGC_147,0.4728260869565218,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.9622756417209914
AGC_149,0.5471014492753624,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.525898047773991
AGC_153,0.4329710144927535,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.144399568536498
AGC_154,0.3605072463768116,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.565746652278305
AGC_156,0.3804347826086957,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,3.2961947822597786
AGC_158,0.8152173913043478,high,LocalRidge_C1_agronomic_Geo_k30_a30_p1,4.2829969089432565
AGC_173,0.0634057971014492,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.994751771018062
AGC_174,0.1268115942028985,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.490803060747287
AGC_175,0.3007246376811594,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.511380418657182
AGC_177,0.4601449275362319,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.268496999472454
AGC_182,0.5597826086956522,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.4608175673119215
AGC_183,0.2373188405797101,low,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,2.9470207342222854
AGC_186,0.3768115942028985,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.2440170293413395
AGC_188,0.4130434782608695,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.527554878330091
AGC_190,0.7409420289855073,high,LocalRidge_C1_agronomic_Geo_k30_a30_p1,4.555420808635102
AGC_191,0.5978260869565217,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.801677678944387
AGC_192,0.4347826086956521,mid,LocalRidge_C4_all_deterministic_Geo_k24_a30_p1,4.628534420633429
