ID_POLIGONO,AREA_HA,RENDIMIENTO_T_HA,CONJUNTO,
AGC_042,3.81,,PREDICCION,
AGC_043,7.15,,PREDICCION,
AGC_044,0.68,3.5,ENTRENAMIENTO,
AGC_045,1.49,4.1,ENTRENAMIENTO,
AGC_046,7.92,3,ENTRENAMIENTO,
AGC_047,64.3,4.45,ENTRENAMIENTO,
AGC_048,8.29,2.5,ENTRENAMIENTO,
AGC_049,0.87,5.53,ENTRENAMIENTO,
AGC_050,2.42,,PREDICCION,
AGC_051,11.12,4.45,ENTRENAMIENTO,
AGC_052,6.23,,PREDICCION,
AGC_053,8.54,3.5,ENTRENAMIENTO,
AGC_054,2.01,2.5,ENTRENAMIENTO,
AGC_055,1.37,5.45,ENTRENAMIENTO,
AGC_056,3.65,5.07,ENTRENAMIENTO,
AGC_057,0.63,4.55,ENTRENAMIENTO,
AGC_058,7.7,2.5,ENTRENAMIENTO,
AGC_059,19.53,4.41,ENTRENAMIENTO,
AGC_060,2.34,4.52,ENTRENAMIENTO,
AGC_061,7.23,,PREDICCION,
AGC_062,2,3.81,ENTRENAMIENTO,
AGC_063,12.54,,PREDICCION,
AGC_064,2.45,4.51,ENTRENAMIENTO,
AGC_065,60.88,,PREDICCION,
AGC_066,7.15,3,ENTRENAMIENTO,
AGC_067,1.53,3,ENTRENAMIENTO,
AGC_068,3.1,2.5,ENTRENAMIENTO,
AGC_069,0.38,5.46,ENTRENAMIENTO,
AGC_070,20.83,3.3,ENTRENAMIENTO,
AGC_071,5.21,,PREDICCION,
AGC_072,4.38,4.55,ENTRENAMIENTO,
AGC_073,2.05,4.3,ENTRENAMIENTO,
AGC_074,8.54,2.5,ENTRENAMIENTO,
AGC_075,3.9,,PREDICCION,
AGC_076,1.01,,PREDICCION,
AGC_077,6.08,4.76,ENTRENAMIENTO,
AGC_078,2.3,3,ENTRENAMIENTO,
AGC_079,18.87,3.3,ENTRENAMIENTO,
AGC_080,18.99,3.5,ENTRENAMIENTO,
AGC_081,3.28,3.7,ENTRENAMIENTO,
AGC_082,2.77,,PREDICCION,
AGC_083,2.87,4.61,ENTRENAMIENTO,
AGC_084,12.42,4.54,ENTRENAMIENTO,
AGC_085,5.5,,PREDICCION,
AGC_086,4.73,,PREDICCION,
AGC_087,5.66,,PREDICCION,
AGC_088,5.91,,PREDICCION,
AGC_089,1.72,3,ENTRENAMIENTO,
AGC_090,10.98,4.68,ENTRENAMIENTO,
AGC_091,0.35,,PREDICCION,
AGC_092,0.5,4.57,ENTRENAMIENTO,
AGC_093,3.71,,PREDICCION,
AGC_094,3.63,,PREDICCION,
AGC_095,1.33,,PREDICCION,
AGC_096,12.87,4.59,ENTRENAMIENTO,
AGC_097,2.35,4.69,ENTRENAMIENTO,
AGC_098,4.9,3,ENTRENAMIENTO,
AGC_099,1.17,3.5,ENTRENAMIENTO,
AGC_100,11.24,4.5,ENTRENAMIENTO,
AGC_101,12.35,4.57,ENTRENAMIENTO,
AGC_102,12.75,4.4,ENTRENAMIENTO,
AGC_103,2.48,3,ENTRENAMIENTO,
AGC_104,3.02,4.56,ENTRENAMIENTO,
AGC_105,2.99,4.41,ENTRENAMIENTO,
AGC_106,6.09,4.43,ENTRENAMIENTO,
AGC_107,2.63,,PREDICCION,
AGC_108,3.79,4.51,ENTRENAMIENTO,
AGC_109,3.14,4.54,ENTRENAMIENTO,
AGC_110,6.19,4.18,ENTRENAMIENTO,
AGC_111,1.71,4.72,ENTRENAMIENTO,
AGC_112,7.96,3,ENTRENAMIENTO,
AGC_113,10.58,,PREDICCION,
AGC_114,6.95,3,ENTRENAMIENTO,
AGC_115,1.93,4.6,ENTRENAMIENTO,
AGC_116,7.43,,PREDICCION,
AGC_117,5.68,3.5,ENTRENAMIENTO,
AGC_118,4.42,,PREDICCION,
AGC_119,0.64,4.4,ENTRENAMIENTO,
AGC_120,7.47,,PREDICCION,
AGC_121,5.92,3.3,ENTRENAMIENTO,
AGC_122,7.45,3.5,ENTRENAMIENTO,
AGC_123,8.01,2.5,ENTRENAMIENTO,
AGC_124,1.96,5.05,ENTRENAMIENTO,
AGC_125,10.14,4.06,ENTRENAMIENTO,
AGC_126,5.75,,PREDICCION,
AGC_127,0.91,5.57,ENTRENAMIENTO,
AGC_128,6.15,,PREDICCION,
AGC_129,8.16,,PREDICCION,
AGC_130,12.1,,PREDICCION,
AGC_131,1.46,4.89,ENTRENAMIENTO,
AGC_132,6.1,4.13,ENTRENAMIENTO,
AGC_133,6.08,3.91,ENTRENAMIENTO,
AGC_134,2.25,4.52,ENTRENAMIENTO,
AGC_135,1.62,4.49,ENTRENAMIENTO,
AGC_136,1.69,,PREDICCION,
AGC_137,24.81,4.54,ENTRENAMIENTO,
AGC_138,7.86,2.5,ENTRENAMIENTO,
AGC_139,1.92,4.67,ENTRENAMIENTO,
AGC_140,4.13,3.2,ENTRENAMIENTO,
AGC_141,3.94,3.5,ENTRENAMIENTO,
AGC_142,1.29,,PREDICCION,
AGC_143,11.48,,PREDICCION,
AGC_144,7.48,2.5,ENTRENAMIENTO,
AGC_145,8.33,3.5,ENTRENAMIENTO,
AGC_146,1.33,4.58,ENTRENAMIENTO,
AGC_147,6.8,,PREDICCION,
AGC_148,2.46,3,ENTRENAMIENTO,
AGC_149,8.99,,PREDICCION,
AGC_150,1.99,4.52,ENTRENAMIENTO,
AGC_151,9.32,4.69,ENTRENAMIENTO,
AGC_152,2.63,4.87,ENTRENAMIENTO,
AGC_153,1.99,,PREDICCION,
AGC_154,1.49,,PREDICCION,
AGC_155,2.24,4.52,ENTRENAMIENTO,
AGC_156,8.2,,PREDICCION,
AGC_157,1.18,3,ENTRENAMIENTO,
AGC_158,11.22,,PREDICCION,
AGC_159,2.14,4.77,ENTRENAMIENTO,
AGC_160,7.61,3.62,ENTRENAMIENTO,
AGC_161,3.36,4.46,ENTRENAMIENTO,
AGC_162,4.93,5.59,ENTRENAMIENTO,
AGC_163,2.57,3,ENTRENAMIENTO,
AGC_164,11.84,3,ENTRENAMIENTO,
AGC_165,6.21,4.44,ENTRENAMIENTO,
AGC_166,6.76,2.5,ENTRENAMIENTO,
AGC_167,2.46,4.54,ENTRENAMIENTO,
AGC_168,1.53,4.49,ENTRENAMIENTO,
AGC_169,2.51,2.5,ENTRENAMIENTO,
AGC_170,8.13,3,ENTRENAMIENTO,
AGC_171,11.63,2.15,ENTRENAMIENTO,
AGC_172,2.33,5.19,ENTRENAMIENTO,
AGC_173,3.6,,PREDICCION,
AGC_174,6.89,,PREDICCION,
AGC_175,1.41,,PREDICCION,
AGC_176,7.15,4.38,ENTRENAMIENTO,
AGC_177,5.66,,PREDICCION,
AGC_178,9.82,4.39,ENTRENAMIENTO,
AGC_179,6.35,4.55,ENTRENAMIENTO,
AGC_180,10.9,4.14,ENTRENAMIENTO,
AGC_181,1.49,4.51,ENTRENAMIENTO,
AGC_182,4.13,,PREDICCION,
AGC_183,7.85,,PREDICCION,
AGC_184,9.96,4.47,ENTRENAMIENTO,
AGC_185,11.88,5.01,ENTRENAMIENTO,
AGC_186,11.7,,PREDICCION,
AGC_187,8.04,3,ENTRENAMIENTO,
AGC_188,2.34,,PREDICCION,
AGC_189,4.6,4.03,ENTRENAMIENTO,
AGC_190,5.01,,PREDICCION,
AGC_191,1.75,,PREDICCION,
AGC_192,2.14,,PREDICCION,
AGC_193,12.41,4.57,ENTRENAMIENTO,
AGC_194,4.12,3.2,ENTRENAMIENTO,
AGC_195,1.92,3.68,ENTRENAMIENTO,
AGC_196,8.57,3.5,ENTRENAMIENTO,
AGC_197,11.52,4.52,ENTRENAMIENTO,
