ID_POLIGONO,fecha_captura,sensor,ndvi_promedio,ndvi_std,ndvi_max,ndvi_min,evi_promedio,evi_std,evi_max,evi_min,crc_promedio,crc_std,crc_max,crc_min,mcrc_promedio,mcrc_std,mcrc_max,mcrc_min,ndsvi_promedio,ndsvi_std,ndsvi_max,ndsvi_min,srndi_promedio,srndi_std,srndi_max,srndi_min,mra_promedio,mra_std,mra_max,mra_min,lai_promedio,lai_std,lai_max,lai_min,fapar_promedio,fapar_std,fapar_max,fapar_min,savi_promedio,savi_std,savi_max,savi_min,vi6t_promedio,vi6t_std,vi6t_max,vi6t_min,ndti_promedio,ndti_std,ndti_max,ndti_min,sti_promedio,sti_std,sti_max,sti_min,ndwi_promedio,ndwi_std,ndwi_max,ndwi_min,endwi_promedio,endwi_std,endwi_max,endwi_min,msi_promedio,msi_std,msi_max,msi_min,emsi_promedio,emsi_std,emsi_max,emsi_min,dswi2_promedio,dswi2_std,dswi2_max,dswi2_min,dswi3_promedio,dswi3_std,dswi3_max,dswi3_min,dswi4_promedio,dswi4_std,dswi4_max,dswi4_min,dswi5_promedio,dswi5_std,dswi5_max,dswi5_min,nddi_promedio,nddi_std,nddi_max,nddi_min,enddi_promedio,enddi_std,enddi_max,enddi_min,porcentaje_nubosidad
AGC_020,12/03/2023,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_020,18/10/2023,Sentinel-2,0.277,0.056,0.567,0.21,0.179,0.043,0.451,0.131,0.409,0.021,0.451,0.32,0.399,0.029,0.493,0.24,0.32,0.047,0.524,0.226,0.17,0.069,0.38,-0.022,0.023,0.001,0.027,0.022,0.115,0.073,0.643,0.035,0.213,0.055,0.554,0.144,0.157,0.032,0.361,0.119,,,,,0.158,0.029,0.278,0.107,1.379,0.084,1.769,1.239,-0.047,0.053,0.29,-0.173,0.112,0.075,0.526,-0.023,1.104,0.107,1.418,0.55,0.807,0.115,1.047,0.311,2.334,0.156,2.948,1.632,1.957,0.223,3.2,1.585,0.838,0.068,1.173,0.756,0.888,0.084,1.583,0.782,0.07,0.029,0.162,-0.007,0.145,0.022,0.242,0.088,0.0
AGC_020,20/05/2024,Sentinel-2,0.147,0.045,0.403,0.114,0.119,0.032,0.307,0.091,0.413,0.02,0.491,0.317,0.388,0.024,0.486,0.287,0.291,0.032,0.461,0.187,0.241,0.031,0.388,0.115,0.021,0.0,0.023,0.021,0.002,0.05,0.294,-0.04,0.081,0.04,0.236,0.045,0.1,0.025,0.239,0.078,,,,,0.054,0.013,0.117,0.039,1.114,0.03,1.265,1.081,-0.15,0.035,-0.007,-0.203,-0.098,0.045,0.09,-0.155,1.358,0.092,1.508,1.013,1.222,0.103,1.366,0.834,2.271,0.124,2.89,1.806,1.827,0.144,2.711,1.461,0.804,0.034,1.018,0.773,0.762,0.044,0.97,0.71,0.119,0.015,0.174,0.052,0.149,0.015,0.22,0.089,0.0
AGC_020,26/06/2025,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_020,26/12/2024,Sentinel-2,0.168,0.024,0.362,0.137,0.13,0.012,0.203,0.073,0.448,0.023,0.529,0.328,0.42,0.026,0.556,0.303,0.294,0.039,0.531,0.182,0.138,0.044,0.391,0.022,0.021,0.0,0.023,0.021,0.032,0.02,0.136,-0.066,0.094,0.024,0.233,0.033,0.117,0.01,0.168,0.064,,,,,0.163,0.014,0.211,0.08,1.389,0.039,1.535,1.174,-0.133,0.032,-0.011,-0.346,0.031,0.035,0.173,-0.208,1.309,0.092,2.058,1.022,0.943,0.071,1.524,0.705,2.454,0.164,3.502,1.871,1.842,0.196,3.263,1.444,0.75,0.038,0.974,0.699,0.76,0.03,0.905,0.595,0.063,0.022,0.204,0.009,0.148,0.023,0.304,0.085,0.0
AGC_020,31/12/2025,Sentinel-2,0.141,0.041,0.429,0.102,0.095,0.025,0.283,0.066,0.366,0.02,0.484,0.278,0.372,0.023,0.483,0.277,0.287,0.036,0.502,0.18,0.183,0.035,0.373,0.035,0.021,0.0,0.024,0.021,-0.036,0.037,0.239,-0.079,0.095,0.03,0.272,0.058,0.08,0.019,0.215,0.056,,,,,0.11,0.019,0.184,0.073,1.248,0.048,1.45,1.158,-0.152,0.03,0.032,-0.283,-0.043,0.041,0.17,-0.139,1.362,0.08,1.789,0.938,1.094,0.084,1.322,0.71,2.191,0.127,2.866,1.765,1.814,0.167,3.015,1.439,0.827,0.037,1.148,0.76,0.769,0.035,1.078,0.655,0.088,0.016,0.162,0.015,0.147,0.018,0.246,0.085,0.0
AGC_048,03/07/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_048,05/01/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.596,0.021,-0.562,-0.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_048,14/08/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.639,0.008,-0.619,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_048,19/04/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.625,0.015,-0.598,-0.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_048,21/01/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGC_048,26/12/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_048,30/07/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.658,0.009,-0.63,-0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_048,31/12/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.621,0.014,-0.596,-0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_048,01/01/2022,Sentinel-2,0.2,0.039,0.458,0.13,0.153,0.024,0.253,0.099,0.463,0.027,0.543,0.337,0.432,0.032,0.578,0.309,0.309,0.049,0.565,0.177,0.144,0.055,0.413,-0.019,0.022,0.0,0.024,0.021,0.073,0.042,0.24,-0.016,0.11,0.04,0.347,0.053,0.138,0.021,0.216,0.091,,,,,0.174,0.015,0.228,0.118,1.421,0.045,1.59,1.268,-0.117,0.042,0.067,-0.279,0.057,0.049,0.259,-0.089,1.27,0.107,1.774,0.875,0.895,0.087,1.195,0.588,2.535,0.208,3.745,1.895,1.911,0.238,3.593,1.431,0.753,0.044,1.017,0.68,0.777,0.043,1.008,0.65,0.063,0.025,0.188,-0.008,0.152,0.026,0.3,0.079,0.0
AGC_048,04/08/2022,Sentinel-2,0.665,0.109,0.824,0.293,0.602,0.136,0.865,0.226,0.38,0.026,0.462,0.305,0.355,0.029,0.495,0.267,0.481,0.07,0.619,0.251,0.23,0.059,0.429,0.06,0.034,0.003,0.039,0.025,1.03,0.403,2.149,0.181,0.656,0.115,0.851,0.322,0.444,0.086,0.606,0.19,,,,,0.285,0.047,0.378,0.154,1.81,0.182,2.215,1.364,0.286,0.107,0.473,-0.01,0.521,0.121,0.716,0.159,0.567,0.138,1.019,0.357,0.324,0.113,0.726,0.165,2.105,0.145,2.959,1.727,2.926,0.517,4.252,1.67,1.392,0.242,1.908,0.844,1.744,0.384,2.603,0.959,0.046,0.014,0.126,0.019,0.129,0.016,0.214,0.095,0.0
AGC_048,12/03/2023,Sentinel-2,0.117,0.027,0.286,0.075,0.086,0.018,0.203,0.054,0.375,0.028,0.478,0.293,0.36,0.039,0.483,0.261,0.26,0.052,0.427,0.146,0.17,0.052,0.311,0.037,0.021,0.0,0.022,0.02,-0.048,0.027,0.137,-0.091,0.068,0.017,0.175,0.013,0.074,0.015,0.169,0.049,,,,,0.095,0.02,0.184,0.066,1.21,0.05,1.451,1.141,-0.149,0.039,-0.034,-0.246,-0.055,0.045,0.114,-0.15,1.354,0.11,1.654,1.071,1.121,0.102,1.353,0.795,2.139,0.197,2.87,1.705,1.718,0.199,2.49,1.343,0.802,0.024,0.966,0.756,0.763,0.034,0.885,0.678,0.084,0.027,0.151,0.017,0.135,0.029,0.226,0.072,0.0
AGC_048,18/10/2023,Sentinel-2,0.268,0.072,0.672,0.187,0.176,0.055,0.605,0.115,0.452,0.019,0.519,0.358,0.439,0.025,0.556,0.336,0.368,0.044,0.58,0.25,0.212,0.048,0.426,0.061,0.024,0.001,0.031,0.023,0.108,0.098,1.044,0.005,0.173,0.063,0.563,0.085,0.153,0.042,0.462,0.103,,,,,0.17,0.017,0.245,0.133,1.41,0.051,1.65,1.306,-0.11,0.054,0.243,-0.237,0.061,0.065,0.439,-0.06,1.254,0.128,1.622,0.609,0.893,0.11,1.127,0.39,2.572,0.158,3.506,2.013,2.181,0.251,3.767,1.666,0.847,0.073,1.326,0.775,0.819,0.085,1.555,0.703,0.089,0.019,0.187,0.024,0.175,0.019,0.285,0.115,0.0
AGC_048,20/05/2024,Sentinel-2,0.136,0.046,0.54,0.076,0.103,0.03,0.4,0.063,0.399,0.037,0.523,0.305,0.377,0.057,0.53,0.261,0.279,0.076,0.509,0.131,0.224,0.079,0.433,0.059,0.021,0.001,0.027,0.021,-0.021,0.046,0.507,-0.077,0.08,0.029,0.349,0.01,0.088,0.023,0.318,0.057,,,,,0.06,0.017,0.131,0.033,1.128,0.04,1.301,1.068,-0.15,0.053,0.066,-0.26,-0.091,0.061,0.181,-0.21,1.362,0.152,1.704,0.876,1.21,0.152,1.532,0.693,2.236,0.306,3.259,1.705,1.809,0.316,3.072,1.3,0.806,0.038,1.13,0.738,0.762,0.049,1.138,0.659,0.112,0.042,0.21,0.028,0.144,0.042,0.266,0.065,0.0
AGC_048,26/06/2025,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_048,26/12/2024,Sentinel-2,0.187,0.037,0.486,0.133,0.144,0.023,0.269,0.099,0.465,0.026,0.549,0.346,0.431,0.034,0.576,0.317,0.3,0.047,0.591,0.164,0.118,0.052,0.389,-0.053,0.022,0.0,0.025,0.021,0.059,0.038,0.244,-0.014,0.112,0.04,0.339,0.043,0.131,0.019,0.217,0.092,,,,,0.189,0.015,0.262,0.155,1.466,0.046,1.711,1.366,-0.12,0.04,0.069,-0.238,0.07,0.047,0.278,-0.042,1.276,0.101,1.626,0.87,0.872,0.08,1.089,0.565,2.527,0.22,3.713,1.927,1.87,0.221,3.888,1.392,0.739,0.03,1.156,0.686,0.77,0.04,0.976,0.661,0.052,0.023,0.162,-0.021,0.149,0.025,0.277,0.075,0.0
AGC_048,31/12/2025,Sentinel-2,0.172,0.073,0.458,0.08,0.113,0.051,0.367,0.053,0.37,0.03,0.49,0.255,0.376,0.044,0.515,0.244,0.295,0.066,0.528,0.135,0.184,0.07,0.395,-0.018,0.022,0.001,0.024,0.021,-0.005,0.081,0.446,-0.096,0.121,0.058,0.373,0.046,0.096,0.041,0.297,0.046,,,,,0.118,0.036,0.235,0.069,1.272,0.098,1.616,1.148,-0.13,0.064,0.131,-0.264,-0.012,0.091,0.353,-0.19,1.312,0.171,1.718,0.768,1.042,0.187,1.468,0.479,2.219,0.233,3.124,1.647,1.864,0.281,3.238,1.312,0.837,0.054,1.161,0.751,0.795,0.073,1.202,0.67,0.086,0.036,0.174,-0.008,0.148,0.035,0.265,0.063,0.0
AGC_050,05/01/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.627,0.011,-0.602,-0.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_050,11/01/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_050,11/07/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.622,0.008,-0.602,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_050,16/01/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.626,0.018,-0.589,-0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_050,24/07/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.623,0.006,-0.601,-0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_050,27/04/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.619,0.008,-0.596,-0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_050,30/08/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.638,0.007,-0.609,-0.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_050,31/12/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.615,0.011,-0.583,-0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_050,01/01/2022,Sentinel-2,0.156,0.03,0.311,0.117,0.105,0.022,0.201,0.076,0.368,0.023,0.469,0.299,0.366,0.03,0.52,0.27,0.275,0.041,0.47,0.168,0.196,0.047,0.408,0.057,0.021,0.0,0.022,0.021,-0.016,0.036,0.149,-0.06,0.101,0.028,0.217,0.058,0.091,0.019,0.175,0.067,,,,,0.083,0.019,0.144,0.049,1.182,0.045,1.338,1.103,-0.124,0.044,0.028,-0.251,-0.041,0.052,0.139,-0.2,1.288,0.112,1.669,0.946,1.092,0.111,1.5,0.756,2.163,0.155,3.163,1.742,1.767,0.173,2.774,1.404,0.816,0.033,0.98,0.733,0.793,0.042,0.968,0.674,0.094,0.025,0.211,0.024,0.138,0.023,0.249,0.078,0.0
AGC_050,04/08/2022,Sentinel-2,0.51,0.053,0.635,0.277,0.459,0.06,0.613,0.235,0.423,0.02,0.489,0.315,0.385,0.023,0.494,0.29,0.426,0.041,0.568,0.242,0.261,0.041,0.396,0.079,0.027,0.001,0.03,0.024,0.604,0.126,0.98,0.175,0.47,0.045,0.599,0.261,0.347,0.04,0.448,0.187,,,,,0.186,0.017,0.23,0.115,1.459,0.051,1.596,1.259,0.109,0.036,0.198,-0.057,0.289,0.045,0.398,0.11,0.806,0.06,1.122,0.669,0.554,0.055,0.802,0.431,2.258,0.128,2.953,1.816,2.504,0.247,3.628,1.639,1.107,0.069,1.281,0.891,1.207,0.08,1.435,0.92,0.079,0.011,0.123,0.03,0.153,0.012,0.211,0.102,0.0
AGC_050,12/03/2023,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_050,18/10/2023,Sentinel-2,0.215,0.029,0.374,0.173,0.145,0.019,0.222,0.115,0.451,0.021,0.518,0.369,0.439,0.027,0.555,0.341,0.338,0.034,0.517,0.239,0.22,0.035,0.399,0.11,0.022,0.0,0.023,0.021,0.055,0.029,0.172,0.007,0.127,0.021,0.222,0.097,0.129,0.015,0.186,0.104,,,,,0.128,0.011,0.152,0.093,1.294,0.028,1.359,1.206,-0.133,0.025,-0.039,-0.219,-0.005,0.027,0.091,-0.095,1.31,0.067,1.56,1.082,1.012,0.053,1.209,0.833,2.574,0.178,3.497,2.036,2.032,0.176,3.141,1.629,0.789,0.03,0.914,0.748,0.773,0.03,0.902,0.7,0.1,0.016,0.178,0.048,0.167,0.018,0.251,0.114,0.0
AGC_050,20/05/2024,Sentinel-2,0.168,0.032,0.33,0.13,0.134,0.022,0.247,0.106,0.404,0.021,0.491,0.346,0.382,0.025,0.486,0.307,0.29,0.034,0.465,0.209,0.235,0.035,0.391,0.118,0.021,0.0,0.022,0.021,0.025,0.035,0.204,-0.017,0.106,0.023,0.206,0.074,0.113,0.018,0.2,0.091,,,,,0.059,0.011,0.093,0.041,1.126,0.025,1.206,1.086,-0.129,0.022,-0.055,-0.19,-0.07,0.03,0.029,-0.119,1.298,0.058,1.468,1.117,1.154,0.068,1.27,0.944,2.241,0.136,2.893,1.885,1.826,0.155,2.737,1.528,0.814,0.023,0.958,0.775,0.786,0.023,0.866,0.743,0.114,0.017,0.178,0.055,0.146,0.017,0.226,0.102,0.0
AGC_050,26/06/2025,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_050,26/12/2024,Sentinel-2,0.183,0.02,0.254,0.147,0.145,0.015,0.196,0.114,0.468,0.027,0.574,0.376,0.425,0.032,0.565,0.325,0.288,0.044,0.497,0.179,0.121,0.047,0.328,0.005,0.021,0.0,0.021,0.021,0.063,0.027,0.148,0.009,0.112,0.028,0.224,0.052,0.133,0.014,0.175,0.105,,,,,0.174,0.013,0.202,0.115,1.422,0.038,1.506,1.26,-0.111,0.041,0.0,-0.313,0.064,0.043,0.163,-0.118,1.256,0.11,1.91,0.999,0.883,0.078,1.268,0.72,2.491,0.211,3.597,1.964,1.823,0.198,2.975,1.437,0.731,0.028,0.881,0.673,0.775,0.037,0.89,0.602,0.054,0.022,0.16,0.002,0.143,0.026,0.279,0.082,0.0
AGC_050,31/12/2025,Sentinel-2,0.168,0.04,0.313,0.117,0.113,0.031,0.223,0.076,0.359,0.034,0.494,0.292,0.368,0.032,0.54,0.31,0.294,0.039,0.52,0.213,0.179,0.038,0.365,0.036,0.021,0.0,0.022,0.021,-0.009,0.048,0.169,-0.066,0.126,0.034,0.277,0.08,0.095,0.026,0.184,0.063,,,,,0.122,0.024,0.192,0.088,1.28,0.065,1.474,1.192,-0.133,0.036,-0.019,-0.342,-0.011,0.048,0.156,-0.161,1.31,0.099,2.039,1.04,1.027,0.095,1.383,0.73,2.173,0.182,3.344,1.9,1.844,0.183,3.166,1.542,0.848,0.029,0.99,0.745,0.795,0.038,0.916,0.6,0.083,0.019,0.184,0.015,0.148,0.021,0.298,0.1,0.0
AGC_054,05/01/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.622,0.007,-0.593,-0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_054,05/05/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.631,0.005,-0.612,-0.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_054,15/09/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.627,0.013,-0.564,-0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_054,16/01/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.623,0.007,-0.605,-0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_054,16/07/2022,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
AGC_054,19/07/2023,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.629,0.006,-0.599,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_054,27/01/2024,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,0.008,-0.605,-0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_054,31/12/2025,Landsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.616,0.01,-0.574,-0.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
AGC_054,01/01/2022,Sentinel-2,0.145,0.033,0.246,0.098,0.1,0.026,0.195,0.07,0.36,0.027,0.444,0.215,0.349,0.029,0.446,0.16,0.252,0.032,0.348,0.052,0.197,0.041,0.273,-0.02,0.021,0.0,0.021,0.02,-0.023,0.043,0.139,-0.07,0.093,0.023,0.178,0.058,0.087,0.023,0.17,0.061,,,,,0.058,0.031,0.157,0.017,1.125,0.073,1.371,1.034,-0.111,0.04,0.112,-0.175,-0.054,0.063,0.226,-0.125,1.254,0.093,1.425,0.798,1.122,0.13,1.286,0.631,2.078,0.128,2.607,1.382,1.676,0.105,2.067,1.111,0.807,0.014,0.871,0.767,0.804,0.043,1.05,0.737,0.096,0.022,0.133,-0.009,0.126,0.017,0.173,0.024,0.0
