ID_POLIGONO,fecha_captura,sensor,ndvi_promedio,ndvi_std,ndvi_max,ndvi_min,evi_promedio,evi_std,evi_max,evi_min,lai_promedio,lai_std,lai_max,lai_min,msavi_promedio,msavi_std,msavi_max,msavi_min,porcentaje_nubosidad
AGC_054,15/02/2025,Planet,0.188,0.026,0.282,0.094,0.103,0.017,0.175,0.047,0.695,0.121,1.167,0.247,0.1,0.017,0.174,0.045,0.0
AGC_054,20/09/2025,Planet,0.584,0.052,0.737,0.23,0.362,0.045,0.557,0.145,1.881,0.201,2.597,0.706,0.354,0.044,0.542,0.137,0.0
AGC_054,22/05/2025,Planet,0.185,0.018,0.293,0.124,0.111,0.013,0.175,0.071,0.629,0.085,0.999,0.351,0.111,0.013,0.175,0.072,0.0
AGC_054,30/12/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_065,01/01/2025,Planet,0.303,0.044,0.529,0.213,0.176,0.021,0.285,0.116,1.041,0.162,1.947,0.538,0.177,0.023,0.286,0.114,0.0
AGC_065,10/11/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_065,12/05/2025,Planet,0.261,0.053,0.561,0.13,0.146,0.024,0.293,0.067,0.928,0.189,1.932,0.206,0.143,0.023,0.286,0.069,0.0
AGC_065,15/09/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_065,17/02/2025,Planet,0.272,0.047,0.532,0.156,0.128,0.019,0.235,0.071,0.853,0.165,1.72,0.247,0.127,0.019,0.231,0.071,0.0
AGC_065,26/07/2025,Planet,0.698,0.036,0.772,0.518,0.595,0.052,0.705,0.355,2.5,0.17,2.896,1.671,0.527,0.047,0.617,0.312,59.855
AGC_065,30/12/2025,Planet,0.33,0.073,0.52,0.11,0.232,0.063,0.383,0.054,1.172,0.244,1.87,0.593,0.212,0.062,0.354,0.047,76.559
AGC_065,31/03/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_076,01/01/2025,Planet,0.33,0.025,0.444,0.264,0.188,0.012,0.234,0.136,1.099,0.11,1.57,0.812,0.197,0.013,0.243,0.141,0.0
AGC_076,06/09/2025,Planet,0.736,0.046,0.834,0.586,0.449,0.048,0.57,0.325,2.561,0.161,2.932,2.097,0.449,0.051,0.575,0.312,0.0
AGC_076,06/11/2025,Planet,0.66,0.071,0.782,0.475,0.389,0.054,0.519,0.247,2.177,0.243,2.684,1.575,0.4,0.059,0.541,0.252,0.0
AGC_076,09/05/2025,Planet,0.187,0.019,0.233,0.155,0.142,0.014,0.181,0.118,0.702,0.093,0.894,0.422,0.128,0.011,0.165,0.107,90.056
AGC_076,16/02/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_076,21/07/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_076,29/03/2025,Planet,0.244,0.034,0.374,0.164,0.128,0.018,0.206,0.089,0.86,0.139,1.453,0.503,0.127,0.018,0.202,0.092,0.0
AGC_076,29/12/2025,Planet,0.291,0.047,0.402,0.181,0.144,0.045,0.244,0.06,0.97,0.125,1.283,0.597,0.133,0.045,0.235,0.051,63.913
AGC_090,01/01/2025,Planet,0.259,0.014,0.325,0.202,0.177,0.016,0.227,0.116,0.887,0.079,1.312,0.545,0.167,0.016,0.216,0.107,0.352
AGC_090,08/11/2025,Planet,0.42,0.051,0.606,0.252,0.257,0.04,0.443,0.145,1.411,0.159,2.143,0.529,0.258,0.041,0.432,0.13,0.0
AGC_090,10/09/2025,Planet,0.75,0.062,0.861,0.339,0.584,0.106,0.8,0.187,2.579,0.291,3.234,0.889,0.579,0.104,0.775,0.191,23.984
AGC_090,12/05/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_090,17/02/2025,Planet,0.23,0.02,0.336,0.168,0.132,0.013,0.208,0.094,0.776,0.093,1.192,0.422,0.129,0.013,0.206,0.09,0.0
AGC_090,23/07/2025,Planet,0.54,0.081,0.79,0.269,0.389,0.077,0.668,0.168,1.776,0.251,2.671,0.939,0.367,0.075,0.639,0.153,0.0
AGC_090,29/12/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_090,31/03/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_108,02/01/2025,Planet,0.271,0.03,0.397,0.195,0.2,0.021,0.29,0.145,0.912,0.114,1.431,0.567,0.186,0.02,0.271,0.132,0.0
AGC_108,05/11/2025,Planet,0.632,0.116,0.895,0.28,0.195,0.085,0.456,0.083,1.749,0.341,2.642,0.753,0.194,0.098,0.479,0.076,78.165
AGC_108,06/09/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_108,08/05/2025,Planet,0.213,0.023,0.34,0.136,0.135,0.018,0.23,0.079,0.764,0.113,1.279,0.359,0.133,0.017,0.227,0.079,0.0
AGC_108,15/02/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_108,19/07/2025,Planet,0.36,0.095,0.711,0.197,0.213,0.086,0.589,0.113,1.228,0.277,2.467,0.75,0.194,0.078,0.528,0.107,0.0
AGC_108,28/03/2025,Planet,0.277,0.037,0.484,0.166,0.16,0.027,0.318,0.087,0.928,0.154,1.699,0.371,0.161,0.026,0.313,0.087,0.0
AGC_108,29/12/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_119,01/01/2025,Planet,0.4,0.048,0.554,0.278,0.205,0.029,0.289,0.13,1.409,0.208,2.168,0.817,0.194,0.028,0.276,0.124,0.0
AGC_119,08/11/2025,Planet,0.435,0.087,0.655,0.322,0.257,0.039,0.376,0.206,1.512,0.286,2.241,1.089,0.252,0.037,0.369,0.204,0.0
AGC_119,09/05/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_119,10/09/2025,Planet,0.718,0.058,0.82,0.468,0.528,0.06,0.683,0.321,2.525,0.227,3.044,1.824,0.536,0.062,0.692,0.325,0.0
AGC_119,16/02/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_119,21/07/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_119,29/03/2025,Planet,0.272,0.086,0.599,0.163,0.144,0.038,0.287,0.091,0.949,0.33,2.333,0.431,0.147,0.037,0.288,0.095,0.0
AGC_119,29/12/2025,Planet,0.42,0.059,0.562,0.29,0.239,0.033,0.309,0.164,1.451,0.2,1.925,0.986,0.222,0.032,0.289,0.15,1.877
AGC_129,01/01/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_129,01/04/2025,Planet,0.256,0.06,0.649,0.137,0.123,0.03,0.329,0.066,0.877,0.223,2.154,0.395,0.124,0.03,0.333,0.065,0.0
AGC_129,13/11/2025,Planet,0.424,0.087,0.757,0.272,0.251,0.036,0.401,0.161,1.383,0.264,2.417,0.889,0.255,0.037,0.404,0.163,0.0
AGC_129,15/09/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_129,16/02/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_129,17/05/2025,Planet,0.27,0.053,0.639,0.171,0.133,0.027,0.322,0.076,0.961,0.206,2.283,0.453,0.139,0.027,0.319,0.079,0.0
AGC_129,25/07/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_129,29/12/2025,Planet,0.43,0.049,0.601,0.253,0.283,0.068,0.439,0.074,1.43,0.17,2.128,0.87,0.26,0.064,0.39,0.061,22.803
AGC_183,01/01/2025,Planet,0.261,0.035,0.394,0.022,0.156,0.022,0.258,0.012,0.879,0.164,1.35,-0.2,0.153,0.023,0.249,0.011,3.139
AGC_183,05/04/2025,Planet,0.228,0.039,0.523,0.128,0.122,0.02,0.263,0.082,0.702,0.18,1.706,-0.198,0.122,0.02,0.269,0.079,2.77
AGC_183,06/08/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_183,09/11/2025,Planet,0.314,0.082,0.607,0.041,0.159,0.052,0.393,0.021,1.031,0.303,2.111,-0.2,0.154,0.052,0.364,0.021,3.206
AGC_183,20/02/2025,Planet,0.216,0.033,0.385,0.005,0.128,0.02,0.256,0.003,0.774,0.162,1.664,-0.2,0.112,0.018,0.228,0.003,3.083
AGC_183,20/09/2025,Planet,0.598,0.144,0.807,0.037,0.366,0.099,0.587,0.022,1.992,0.589,2.976,-0.188,0.359,0.098,0.588,0.021,0.0
AGC_183,23/05/2025,Planet,0.202,0.031,0.384,0.034,0.166,0.026,0.334,0.025,0.597,0.144,1.344,-0.199,0.147,0.023,0.289,0.022,2.245
AGC_183,30/12/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_186,01/01/2025,Planet,0.271,0.013,0.322,0.221,0.189,0.01,0.235,0.151,0.946,0.071,1.322,0.641,0.169,0.01,0.215,0.135,73.139
AGC_186,07/09/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_186,07/11/2025,Planet,0.559,0.107,0.769,0.337,0.322,0.07,0.485,0.193,1.836,0.385,2.746,1.14,0.331,0.071,0.497,0.197,0.0
AGC_186,10/05/2025,Planet,,,,,,,,,,,,,,,,,100.0
AGC_186,16/02/2025,Planet,0.222,0.014,0.302,0.175,0.159,0.011,0.218,0.122,0.762,0.069,1.082,0.478,0.139,0.01,0.197,0.107,30.703
AGC_186,22/07/2025,Planet,0.731,0.097,0.893,0.35,0.44,0.085,0.632,0.166,2.206,0.332,2.925,1.162,0.454,0.097,0.67,0.161,0.0
AGC_186,29/03/2025,Planet,0.249,0.029,0.513,0.175,0.137,0.018,0.313,0.097,0.925,0.127,1.902,0.512,0.133,0.018,0.31,0.096,0.0
AGC_186,29/12/2025,Planet,,,,,,,,,,,,,,,,,100.0
